text,label
"-----Original Message----- From: Slone, Jeanie Sent: Tuesday, June 26, 2001 5:42 PM To: Allen, Phillip K.; Arnold, John; Breslau, Craig; Fox, Craig A.; Gomez, Julie A.; Grigsby, Mike; Josey, Scott; Keel, Allan; Lagrasta, Fred; Luce, Laura; McMichael Jr., Ed; Melendrez, Jesus; Mrha, Jean; Muhl, Gil; Neal, Scott; Redmond, Brian; Shively, Hunter S.; Tycholiz, Barry; Vickers, Frank W.; Whitt, Mark; Martin, Thomas A.; Schwieger, Jim; Thompson, C. John Subject: PRC-Response required by end of day FRIDAY, JUNE 29 Importance: High Louise Kitchen/John Lavorato have requested that each of you prepare a brief one page summary highlighting your accomplishments for this review period by end of day Friday, June 29, 2001. You may use the PEP system and do a self-evaluation (let me know if you need assistance w/this) or send me an email bullet pointing your accomplishments. If you have already done a self-eval, you do not need to respond to this email. HR is compiling the information for OOTC and I appreciate your assistance/timely response. I apologize for the quick turn around-just got the request myself. Please call or email w/any questions. Thanks.",ham
"Sara, As in our past exercises for the ""Non-Terminated/In-the-Money"" Counterparties, the Thiele-Kaolin Company continues to appear as a ""financial"" trading relationship. However, according to the Confirmation Desk there are only physical arrangements with this counterparty (as evidenced by our GTC docs). I hope that Credit can resolve the mystery??? Susan -----Original Message----- From: Shackleton, Sara Sent: Friday, February 15, 2002 10:21 AM To: McMichael Jr., Ed; Dicarlo, Louis; Moran, Tom; Apollo, Beth Cc: Bailey, Susan; Boyd, Samantha; Panus, Stephanie Subject: Thiele Kaolin Company We cannot locate any financial contracts for this counterparty. Please verify that this party belongs on the ITM Non-terminated financial gas list. Sara Shackleton Enron Wholesale Services 1400 Smith Street, EB3801a Houston, TX 77002 Ph: (713) 853-5620 Fax: (713) 646-3490",ham
"Amazon.com logo your account Thanks for your order, Eric P. Bass! If you ordered several items to be delivered to the same address, we might send them in separate boxes to ensure quicker service. But don't worry: you won't be charged any extra shipping fees. Thanks again for shopping with us. Amazon.com Customer Service Manage Your Account: Did you know you can view and edit your orders online? Click on Your Account to: Track order status Combine orders Change payment options Edit shipping address Cancel unshipped items Change gift messaging do much more... Purchasing Information: Your purchase reads as follows: E-mail Address:??ebass@enron.com Billing Address: ?? Eric P. Bass 2302 Travis St. #8225 Houston, TX 77006 USA 713.853.0977 Subtotal: ? $ 62.51 Shipping & Handling:????????? ? $ 6.28 ? ------ Total Before Tax: ? $ 68.79 Tax: ? $ 0.00 ? ------ Purchase Total: ? $ 68.79 ? Order Summary: Order #1: (Order #107-2294148-4912521) Eric P. Bass 2302 Travis St. #8225 Houston, TX 77006 USA Shipping method: Standard Shipping Shipping preference: Ship when all items are available. [IMAGE] 1 ""The Ten Things You Can't Say in America"" Larry Elder; Hardcover; @ $19.16 each Usually available in 24 hours [IMAGE] 1 ""Drudge Manifesto"" Matt Drudge, Julia Phillips(Contributor); Hardcover; @ $18.36 each Usually available in 24 hours [IMAGE] 1 ""Hoffritz 16-Ounce Chrome Cocktail Shaker"" Kitchen; @ $24.99 each Usually available in 24 hours You can make changes to any unshipped orders in Your Account. If you've explored the links on that page but still need to get in touch with us about your order, e-mail us at orders@amazon.com. Thanks again for shopping at Amazon.com! Amazon.com Earth's Biggest Selection Some Ideas for Your Next Visit: [IMAGE] The O'Reilly Factor by Bill O'Reilly Our Price: $13.80 [IMAGE]SellOut by David P. Schippers, Alan P. Henry Our Price: $22.36 [IMAGE] See All Your Recommendations unsubscribe icon?Prefer not to receive HTML Mail? Click here Free Shipping ? Best of 2000 Our customers and editors have chosen! Check out the results. ? Give the Gift of Choice Send an Amazon.com gift certificate with one of our free e-cards. ? Create a Wish List And see what magic it brings. Click here for details. ? ? ?",ham
Guess what! You have just received an animated greeting card from Dad You'll see the personal greeting by using the following Web location. http://www3.bluemountain.com/cards/box4576k/x9fhubzi8db8is.htm (Your greeting card will be available for the next 90 days) There is no charge for this service! :) HAVE a good day and have fun! ____________________________________________________________ Accessing your card indicates your agreement with our Website Rules posted at the bottom of the following Web location: (You're welcome to send a card at no charge to someone at this location) http://www.bluemountain.com/,ham
"---------------------- Forwarded by John Arnold/HOU/ECT on 04/19/2001 11:28 AM --------------------------- SOblander@carrfut.com on 04/19/2001 10:50:12 AM To: soblander@carrfut.com cc: Subject: option candlesticks The information contained herein is based on sources that we believe to be reliable, but we do not represent that it is accurate or complete. Nothing contained herein should be considered as an offer to sell or a solicitation of an offer to buy any financial instruments discussed herein. Any opinions expressed herein are solely those of the author. As such, they may differ in material respects from those of, or expressed or published by on behalf of Carr Futures or its officers, directors, employees or affiliates. , 2001 Carr Futures The charts are now available on the web by clicking on the hot link(s) contained in this email. If for any reason you are unable to receive the charts via the web, please contact me via email and I will email the charts to you as attachments. Option Candlesticks http://www.carrfut.com/research/Energy1/candlesticks25.pdf Carr Futures 150 S. Wacker Dr., Suite 1500 Chicago, IL 60606 USA Tel: 312-368-6149 Fax: 312-368-2281 soblander@carrfut.com http://www.carrfut.com",ham
"plus 50 for the minni bet 185 -----Original Message----- From: Arnold, John Sent: Monday, October 15, 2001 11:16 AM To: Lavorato, John Subject: RE: 5-3-2 +255 - 120 = 135 your way -----Original Message----- From: Lavorato, John Sent: Saturday, October 13, 2001 9:25 AM To: Arnold, John Subject: i owe you 120 - wow all 150 balt -1 tb +3 chic/ariz over 39.5 car +5 giants +11 sd +3 sf -3 miami -3 seattle +6.5 oak +3.5",ham
"Jennifer: I'll be here, 3221F, tomorrow from 7:00 - 8:00 and 8:30-9:00 am. Thanks John Jennifer Milligan 08/21/2000 11:15 AM To: John Arnold/HOU/ECT@ECT cc: Subject: stock option grant agreement John, I am a new generalist on your Human Resources team and I would like to deliver your Stock Option Grant Agreement. We are required to deliver these documents in person, so please email me with your current EB location or call me with a convenient delivery time. Thanks, Jennifer X35272",ham
"As we work to turn the company around, interim CEO Steve Cooper is quickly becoming a credible advocate for our restructuring. This week, Steve participated in a number of media interviews with print and wire service reporters. Below are links to the stories resulting from those interviews. FINANCIAL TIMES: Enron chief considers law suits to recover cash http://home.enron.com/updates/articles/lawsuits.html AP ONLINE: New Enron CEO Cooper Sees Rebirth http://home.enron.com/updates/articles/notimpossible.html CP WIRE: Enron can be salvaged: CEO Collapsed company faces hurdles http://home.enron.com/updates/articles/salvaged.html THE WASHINGTON POST: Cooper's Crash Course; In Enron, the Turnaround Expert Faces His Biggest Challenge http://home.enron.com/updates/articles/crashcourse.html REUTERS: Enron's top execs to stay on post Ch. 11-CEO. http://home.enron.com/updates/articles/execsstay.html DOW JONES NEWS SERVICE: Enron Interim CEO: Still Interviewing Auditors http://home.enron.com/updates/articles/auditors.html HOUSTON CHRONICLE: Enron utility sale could be canceled http://home.enron.com/updates/articles/utilitysale.html CBSMARKETWATCH: Interim CEO Cooper expects a return to regulated roots http://home.enron.com/updates/articles/roots.hth",ham
"absolutely...though i'm not sure how you do it. call chris gaskill and he should be abl to help. From: Kevin McGowan/ENRON@enronXgate on 05/04/2001 09:33 AM To: John Arnold/HOU/ECT@ECT cc: Subject: John, Could I get access to the gas message board? KJM",ham
"I can cook. Brian Hoskins@ENRON COMMUNICATIONS 11/13/2000 02:41 PM To: Eric Bass/HOU/ECT@ECT, Shanna Husser/HOU/EES@EES, Hector Campos/HOU/ECT@ECT, Lenine Jeganathan/HOU/ECT@ECT cc: Subject: Thanksgiving dinner Do you guys want to keep the tradition and organize a Thanksgiving dinner this Sunday? Brian T. Hoskins Enron Broadband Services 713-853-0380 (office) 713-412-3667 (mobile) 713-646-5745 (fax) Brian_Hoskins@enron.net",ham
